335,44.1,200,-65.1
336,44.1,200,-52.5
337,44.1,200,-48.3
338,44.1,200,-44.1
339,44.1,200,-35.7
340,44.1,200,-31.5
341,44.1,200,-23.1
342,44.1,200,-18.9
343,44.1,200,-2.1
344,44.1,200,2.1
345,44.1,200,52.5
346,48.3,200,-18.9
347,48.3,200,-14.7
348,48.3,200,14.7
349,48.3,200,18.9
350,48.3,200,35.7
351,48.3,200,48.3
352,48.3,200,52.5
353,48.3,200,56.7
354,52.5,200,-56.7
355,52.5,200,-52.5
356,52.5,200,-48.3
357,52.5,200,-35.7
358,52.5,200,-27.3
359,52.5,200,6.3
360,52.5,200,23.1
361,52.5,200,27.3
362,52.5,200,44.1
363,52.5,200,48.3
364,52.5,200,52.5
365,52.5,200,65.1
366,56.7,200,-56.7
367,56.7,200,-35.7
368,56.7,200,-27.3
369,56.7,200,-23.1
370,56.7,200,14.7
371,56.7,200,31.5
372,56.7,200,48.3
373,60.9,200,-65.1
374,60.9,200,-60.9
375,60.9,200,-23.1
376,60.9,200,-14.7
377,60.9,200,23.1
378,60.9,200,48.3
379,65.1,200,-60.9
380,65.1,200,-52.5
381,65.1,200,10.5
382,65.1,200,23.1
383,65.1,200,27.3
384,65.1,200,65.1
385,69.3,200,-27.3
386,69.3,200,-23.1
387,69.3,200,31.5
388,69.3,200,35.7
389,69.3,200,39.9
390,69.3,200,56.7
391,69.3,200,65.1
392,73.5,200,-65.1
393,73.5,200,-48.3
394,73.5,200,-31.5
395,73.5,200,-23.1
396,73.5,200,-18.9
397,73.5,200,-10.5
398,73.5,200,-2.1
399,73.5,200,10.5
400,73.5,200,48.3
401,77.7,200,-56.7
402,77.7,200,-52.5
403,77.7,200,-10.5
404,77.7,200,2.1
405,77.7,200,14.7
406,77.7,200,23.1
407,77.7,200,35.7
408,77.7,200,44.1
409,77.7,200,48.3
410,77.7,200,52.5
411,77.7,200,65.1
412,81.9,200,-65.1
413,81.9,200,-56.7
414,81.9,200,-48.3
415,81.9,200,-44.1
416,81.9,200,-31.5
417,81.9,200,10.5
418,81.9,200,31.5
419,86.1,200,-65.1
420,86.1,200,-48.3
421,86.1,200,-44.1
422,86.1,200,-31.5
423,86.1,200,23.1
424,86.1,200,56.7
425,90.3,200,-65.1
426,90.3,200,-39.9
427,90.3,200,-18.9
428,90.3,200,-6.3
429,90.3,200,6.3
430,90.3,200,18.9
431,90.3,200,35.7
432,90.3,200,39.9
433,90.3,200,65.1
434,94.5,200,-65.1
435,94.5,200,-31.5
436,94.5,200,-10.5
437,94.5,200,-2.1
438,98.7,200,-56.7
439,98.7,200,-44.1
440,98.7,200,-27.3
441,98.7,200,14.7
442,98.7,200,18.9
443,98.7,200,23.1
444,98.7,200,31.5
445,98.7,200,48.3
446,98.7,200,52.5
447,98.7,200,56.7
448,98.7,200,60.9
449,102.9,200,-44.1
450,102.9,200,-35.7
451,102.9,200,-14.7
452,102.9,200,2.1
453,102.9,200,10.5
454,102.9,200,18.9
455,102.9,200,48.3
456,102.9,200,56.7
457,102.9,200,60.9
458,107.1,200,-10.5
459,107.1,200,2.1
460,107.1,200,27.3
461,107.1,200,65.1
462,111.3,200,-65.1
463,111.3,200,-60.9
464,111.3,200,-56.7
465,111.3,200,-52.5
466,111.3,200,-44.1
467,111.3,200,-27.3
468,111.3,200,-23.1
469,111.3,200,-18.9
470,111.3,200,-6.3
471,111.3,200,-2.1
472,111.3,200,35.7
473,115.5,200,-65.1
474,115.5,200,-39.9
475,115.5,200,-35.7
476,115.5,200,-14.7
477,115.5,200,-10.5
478,115.5,200,14.7
479,115.5,200,31.5
480,115.5,200,35.7
481,115.5,200,56.7
482,119.7,200,-65.1
483,119.7,200,-31.5
484,119.7,200,-27.3
485,119.7,200,-10.5
486,119.7,200,2.1
487,119.7,200,14.7
488,119.7,200,18.9
489,119.7,200,27.3
490,119.7,200,39.9
491,119.7,200,65.1
492,123.9,200,-56.7
493,123.9,200,-14.7
494,123.9,200,6.3
495,123.9,200,14.7
496,123.9,200,44.1
497,128.1,200,-65.1
498,128.1,200,-44.1
499,128.1,200,-35.7
500,128.1,200,31.5
501,128.1,200,48.3
502,128.1,200,56.7
503,128.1,200,65.1
504,132.3,200,-39.9
505,132.3,200,-35.7
506,132.3,200,-31.5
507,132.3,200,-2.1
508,132.3,200,2.1
509,132.3,200,6.3
510,132.3,200,18.9
511,132.3,200,39.9
512,132.3,200,60.9
513,-132.3,230,-65.1
514,-132.3,230,-44.1
515,-132.3,230,-35.7
516,-132.3,230,-23.1
517,-132.3,230,-2.1
518,-132.3,230,23.1
519,-132.3,230,27.3
520,-132.3,230,31.5
521,-132.3,230,39.9
522,-132.3,230,44.1
523,-132.3,230,56.7
524,-132.3,230,60.9
525,-132.3,230,65.1
526,-128.1,230,-65.1
527,-128.1,230,-44.1
528,-128.1,230,-14.7
529,-128.1,230,-10.5
530,-128.1,230,-2.1
531,-128.1,230,6.3
532,-128.1,230,27.3
533,-128.1,230,31.5
534,-128.1,230,39.9
535,-128.1,230,60.9
536,-123.9,230,-65.1
537,-123.9,230,-60.9
